Carimbo de data/hora,Você já enfrentou problemas para agendar uma consulta médica de forma on-line?,"Por favor, informe sua idade.","Quando você precisa marcar uma consulta, qual opção costuma ser mais fácil?  ","Você já sentiu falta de ajuda ou suporte (telefone, chat, atendimento humano) para concluir o agendamento on-line?  ","Você já preferiu ir pessoalmente ao hospital/posto de saúde para agendar, por achar mais fácil do que usar o sistema on-line?  ",O que costuma ser mais complicado ao usar sistemas digitais de agendamento?,"Em caso de dúvida, você prefere falar com um atendente humano ou receber instruções de um sistema automático?  ",Espaço livre para críticas e sugestões relacionadas com os meios digitais.
26/08/2025 18:55:54,Não.,Menos de 40 anos.,App no celular.,Sim.,Sim.,Muitas etapas e requisitos.,Atendente humano.,
26/08/2025 19:01:49,Não.,Menos de 40 anos.,App no celular.,Sim.,Não. Prefiro insistir e agendar de forma on-line.,Muitas etapas e requisitos.,Atendente humano.,
26/08/2025 19:28:33,Não.,Menos de 40 anos.,Ligação telefônica.,Não.,Sim.,Muitas etapas e requisitos.,Atendente humano.,
26/08/2025 19:41:23,Não.,Menos de 40 anos.,Site na internet.,Sim.,Sim.,Interface ruim/com bugs.,Atendente humano.,
26/08/2025 19:53:15,Sim.,Menos de 40 anos.,App no celular.,Sim.,Não. Prefiro insistir e agendar de forma on-line.,Interface ruim/com bugs.,Atendente humano.,
26/08/2025 19:55:15,Sim.,Menos de 40 anos.,App no celular.,Sim.,Não. Prefiro insistir e agendar de forma on-line.,Muitas etapas e requisitos.,Atendente humano.,
27/08/2025 22:15:58,Sim.,Menos de 40 anos.,App no celular.,Sim.,Sim.,Alta demora para ser atendido em casos de problemas.,Atendente humano.,
29/08/2025 08:15:53,Sim.,60 a 69 anos.,Ir pessoalmente ao hospital/posto de saúde.,Sim.,Sim.,Muitas etapas e requisitos.,Atendente humano.,
29/08/2025 08:57:25,Sim.,Menos de 40 anos.,Site na internet.,Sim.,Sim.,Interface ruim/com bugs.,Atendente humano.,
23/09/2025 10:33:27,Sim.,Menos de 40 anos.,Site na internet.,Sim.,Não. Prefiro insistir e agendar de forma on-line.,Muitas etapas e requisitos.,Atendente humano.,
23/09/2025 10:35:53,Sim.,40 a 59 anos.,Ligação telefônica.,Sim.,Sim.,Interface ruim/com bugs.,Atendente humano.,
23/09/2025 10:36:35,Não.,60 a 69 anos.,Ir pessoalmente ao hospital/posto de saúde.,Sim.,Sim.,Muitas etapas e requisitos.,Atendente humano.,
23/09/2025 10:37:03,Sim.,Menos de 40 anos.,App no celular.,Não.,Não. Prefiro insistir e agendar de forma on-line.,Interface ruim/com bugs.,Atendente humano.,
24/09/2025 16:06:37,Não.,70 a 79 anos.,Ir pessoalmente ao hospital/posto de saúde.,Não.,Sim.,Alta demora para ser atendido em casos de problemas.,Atendente humano.,
28/09/2025 19:51:15,Não.,Menos de 40 anos.,Site na internet.,Sim.,Não. Prefiro insistir e agendar de forma on-line.,Muitas etapas e requisitos.,Atendente humano.,
28/09/2025 19:51:46,Sim.,60 a 69 anos.,App no celular.,Sim.,Sim.,Alta demora para ser atendido em casos de problemas.,Atendente humano.,
28/09/2025 19:52:49,Não.,Menos de 40 anos.,App no celular.,Sim.,Não. Prefiro insistir e agendar de forma on-line.,Interface ruim/com bugs.,Atendente humano.,
28/09/2025 19:53:14,Não.,Menos de 40 anos.,Ligação telefônica.,Sim.,Não. Prefiro insistir e agendar de forma on-line.,Muitas etapas e requisitos.,Atendente humano.,
28/09/2025 19:53:27,Não.,40 a 59 anos.,App no celular.,Sim.,Não. Prefiro insistir e agendar de forma on-line.,Interface ruim/com bugs.,Atendente humano.,
28/09/2025 19:53:40,Sim.,Menos de 40 anos.,Ligação telefônica.,Sim.,Não. Prefiro insistir e agendar de forma on-line.,Alta demora para ser atendido em casos de problemas.,Atendente humano.,